,tile,el_i_in_tile,el,config
0,0,0,3974,115
1,0,1,4194,115
2,0,2,4414,115
3,0,3,4634,115
4,0,4,3975,115
5,0,5,4195,115
6,0,6,4415,115
7,0,7,4635,115
8,0,8,3976,115
9,0,9,4196,115
10,0,10,4416,115
11,0,11,4636,115
12,0,12,3977,115
13,0,13,4197,115
14,0,14,4417,115
15,0,15,4637,115
16,1,0,3998,115
17,1,1,4218,115
18,1,2,4438,115
19,1,3,4658,115
20,1,4,3999,115
21,1,5,4219,115
22,1,6,4439,115
23,1,7,4659,115
24,1,8,4000,115
25,1,9,4220,115
26,1,10,4440,115
27,1,11,4660,115
28,1,12,4001,115
29,1,13,4221,115
30,1,14,4441,115
31,1,15,4661,115
32,2,0,4022,115
33,2,1,4242,115
34,2,2,4462,115
35,2,3,4682,115
36,2,4,4023,115
37,2,5,4243,115
38,2,6,4463,115
39,2,7,4683,115
40,2,8,4024,115
41,2,9,4244,115
42,2,10,4464,115
43,2,11,4684,115
44,2,12,4025,115
45,2,13,4245,115
46,2,14,4465,115
47,2,15,4685,115
48,3,0,4046,115
49,3,1,4266,115
50,3,2,4486,115
51,3,3,4706,115
52,3,4,4047,115
53,3,5,4267,115
54,3,6,4487,115
55,3,7,4707,115
56,3,8,4048,115
57,3,9,4268,115
58,3,10,4488,115
59,3,11,4708,115
60,3,12,4049,115
61,3,13,4269,115
62,3,14,4489,115
63,3,15,4709,115
64,4,0,4070,115
65,4,1,4290,115
66,4,2,4510,115
67,4,3,4730,115
68,4,4,4071,115
69,4,5,4291,115
70,4,6,4511,115
71,4,7,4731,115
72,4,8,4072,115
73,4,9,4292,115
74,4,10,4512,115
75,4,11,4732,115
76,4,12,4073,115
77,4,13,4293,115
78,4,14,4513,115
79,4,15,4733,115
80,5,0,4094,115
81,5,1,4314,115
82,5,2,4534,115
83,5,3,4754,115
84,5,4,4095,115
85,5,5,4315,115
86,5,6,4535,115
87,5,7,4755,115
88,5,8,4096,115
89,5,9,4316,115
90,5,10,4536,115
91,5,11,4756,115
92,5,12,4097,115
93,5,13,4317,115
94,5,14,4537,115
95,5,15,4757,115
96,6,0,4118,115
97,6,1,4338,115
98,6,2,4558,115
99,6,3,4778,115
100,6,4,4119,115
101,6,5,4339,115
102,6,6,4559,115
103,6,7,4779,115
104,6,8,4120,115
105,6,9,4340,115
106,6,10,4560,115
107,6,11,4780,115
108,6,12,4121,115
109,6,13,4341,115
110,6,14,4561,115
111,6,15,4781,115
112,7,0,4142,115
113,7,1,4362,115
114,7,2,4582,115
115,7,3,4802,115
116,7,4,4143,115
117,7,5,4363,115
118,7,6,4583,115
119,7,7,4803,115
120,7,8,4144,115
121,7,9,4364,115
122,7,10,4584,115
123,7,11,4804,115
124,7,12,4145,115
125,7,13,4365,115
126,7,14,4585,115
127,7,15,4805,115
128,8,0,4166,115
129,8,1,4386,115
130,8,2,4606,115
131,8,3,4826,115
132,8,4,4167,115
133,8,5,4387,115
134,8,6,4607,115
135,8,7,4827,115
136,8,8,4168,115
137,8,9,4388,115
138,8,10,4608,115
139,8,11,4828,115
140,8,12,4169,115
141,8,13,4389,115
142,8,14,4609,115
143,8,15,4829,115
144,9,0,12774,115
145,9,1,12994,115
146,9,2,13214,115
147,9,3,13434,115
148,9,4,12775,115
149,9,5,12995,115
150,9,6,13215,115
151,9,7,13435,115
152,9,8,12776,115
153,9,9,12996,115
154,9,10,13216,115
155,9,11,13436,115
156,9,12,12777,115
157,9,13,12997,115
158,9,14,13217,115
159,9,15,13437,115
160,10,0,12798,115
161,10,1,13018,115
162,10,2,13238,115
163,10,3,13458,115
164,10,4,12799,115
165,10,5,13019,115
166,10,6,13239,115
167,10,7,13459,115
168,10,8,12800,115
169,10,9,13020,115
170,10,10,13240,115
171,10,11,13460,115
172,10,12,12801,115
173,10,13,13021,115
174,10,14,13241,115
175,10,15,13461,115
176,11,0,12822,115
177,11,1,13042,115
178,11,2,13262,115
179,11,3,13482,115
180,11,4,12823,115
181,11,5,13043,115
182,11,6,13263,115
183,11,7,13483,115
184,11,8,12824,115
185,11,9,13044,115
186,11,10,13264,115
187,11,11,13484,115
188,11,12,12825,115
189,11,13,13045,115
190,11,14,13265,115
191,11,15,13485,115
192,12,0,12846,115
193,12,1,13066,115
194,12,2,13286,115
195,12,3,13506,115
196,12,4,12847,115
197,12,5,13067,115
198,12,6,13287,115
199,12,7,13507,115
200,12,8,12848,115
201,12,9,13068,115
202,12,10,13288,115
203,12,11,13508,115
204,12,12,12849,115
205,12,13,13069,115
206,12,14,13289,115
207,12,15,13509,115
208,13,0,12870,115
209,13,1,13090,115
210,13,2,13310,115
211,13,3,13530,115
212,13,4,12871,115
213,13,5,13091,115
214,13,6,13311,115
215,13,7,13531,115
216,13,8,12872,115
217,13,9,13092,115
218,13,10,13312,115
219,13,11,13532,115
220,13,12,12873,115
221,13,13,13093,115
222,13,14,13313,115
223,13,15,13533,115
224,14,0,12894,115
225,14,1,13114,115
226,14,2,13334,115
227,14,3,13554,115
228,14,4,12895,115
229,14,5,13115,115
230,14,6,13335,115
231,14,7,13555,115
232,14,8,12896,115
233,14,9,13116,115
234,14,10,13336,115
235,14,11,13556,115
236,14,12,12897,115
237,14,13,13117,115
238,14,14,13337,115
239,14,15,13557,115
240,15,0,12918,115
241,15,1,13138,115
242,15,2,13358,115
243,15,3,13578,115
244,15,4,12919,115
245,15,5,13139,115
246,15,6,13359,115
247,15,7,13579,115
248,15,8,12920,115
249,15,9,13140,115
250,15,10,13360,115
251,15,11,13580,115
252,15,12,12921,115
253,15,13,13141,115
254,15,14,13361,115
255,15,15,13581,115
256,16,0,12942,115
257,16,1,13162,115
258,16,2,13382,115
259,16,3,13602,115
260,16,4,12943,115
261,16,5,13163,115
262,16,6,13383,115
263,16,7,13603,115
264,16,8,12944,115
265,16,9,13164,115
266,16,10,13384,115
267,16,11,13604,115
268,16,12,12945,115
269,16,13,13165,115
270,16,14,13385,115
271,16,15,13605,115
272,17,0,12966,115
273,17,1,13186,115
274,17,2,13406,115
275,17,3,13626,115
276,17,4,12967,115
277,17,5,13187,115
278,17,6,13407,115
279,17,7,13627,115
280,17,8,12968,115
281,17,9,13188,115
282,17,10,13408,115
283,17,11,13628,115
284,17,12,12969,115
285,17,13,13189,115
286,17,14,13409,115
287,17,15,13629,115
288,18,0,21574,115
289,18,1,21794,115
290,18,2,22014,115
291,18,3,22234,115
292,18,4,21575,115
293,18,5,21795,115
294,18,6,22015,115
295,18,7,22235,115
296,18,8,21576,115
297,18,9,21796,115
298,18,10,22016,115
299,18,11,22236,115
300,18,12,21577,115
301,18,13,21797,115
302,18,14,22017,115
303,18,15,22237,115
304,19,0,21598,115
305,19,1,21818,115
306,19,2,22038,115
307,19,3,22258,115
308,19,4,21599,115
309,19,5,21819,115
310,19,6,22039,115
311,19,7,22259,115
312,19,8,21600,115
313,19,9,21820,115
314,19,10,22040,115
315,19,11,22260,115
316,19,12,21601,115
317,19,13,21821,115
318,19,14,22041,115
319,19,15,22261,115
320,20,0,21622,115
321,20,1,21842,115
322,20,2,22062,115
323,20,3,22282,115
324,20,4,21623,115
325,20,5,21843,115
326,20,6,22063,115
327,20,7,22283,115
328,20,8,21624,115
329,20,9,21844,115
330,20,10,22064,115
331,20,11,22284,115
332,20,12,21625,115
333,20,13,21845,115
334,20,14,22065,115
335,20,15,22285,115
336,21,0,21646,115
337,21,1,21866,115
338,21,2,22086,115
339,21,3,22306,115
340,21,4,21647,115
341,21,5,21867,115
342,21,6,22087,115
343,21,7,22307,115
344,21,8,21648,115
345,21,9,21868,115
346,21,10,22088,115
347,21,11,22308,115
348,21,12,21649,115
349,21,13,21869,115
350,21,14,22089,115
351,21,15,22309,115
352,22,0,21670,115
353,22,1,21890,115
354,22,2,22110,115
355,22,3,22330,115
356,22,4,21671,115
357,22,5,21891,115
358,22,6,22111,115
359,22,7,22331,115
360,22,8,21672,115
361,22,9,21892,115
362,22,10,22112,115
363,22,11,22332,115
364,22,12,21673,115
365,22,13,21893,115
366,22,14,22113,115
367,22,15,22333,115
368,23,0,21694,115
369,23,1,21914,115
370,23,2,22134,115
371,23,3,22354,115
372,23,4,21695,115
373,23,5,21915,115
374,23,6,22135,115
375,23,7,22355,115
376,23,8,21696,115
377,23,9,21916,115
378,23,10,22136,115
379,23,11,22356,115
380,23,12,21697,115
381,23,13,21917,115
382,23,14,22137,115
383,23,15,22357,115
384,24,0,21718,115
385,24,1,21938,115
386,24,2,22158,115
387,24,3,22378,115
388,24,4,21719,115
389,24,5,21939,115
390,24,6,22159,115
391,24,7,22379,115
392,24,8,21720,115
393,24,9,21940,115
394,24,10,22160,115
395,24,11,22380,115
396,24,12,21721,115
397,24,13,21941,115
398,24,14,22161,115
399,24,15,22381,115
400,25,0,21742,115
401,25,1,21962,115
402,25,2,22182,115
403,25,3,22402,115
404,25,4,21743,115
405,25,5,21963,115
406,25,6,22183,115
407,25,7,22403,115
408,25,8,21744,115
409,25,9,21964,115
410,25,10,22184,115
411,25,11,22404,115
412,25,12,21745,115
413,25,13,21965,115
414,25,14,22185,115
415,25,15,22405,115
416,26,0,21766,115
417,26,1,21986,115
418,26,2,22206,115
419,26,3,22426,115
420,26,4,21767,115
421,26,5,21987,115
422,26,6,22207,115
423,26,7,22427,115
424,26,8,21768,115
425,26,9,21988,115
426,26,10,22208,115
427,26,11,22428,115
428,26,12,21769,115
429,26,13,21989,115
430,26,14,22209,115
431,26,15,22429,115
